C03-P03,C04-P04,F03-C03,F04-C04,F07-T03,F08-T04,FP01-F03,FP01-F07,FP02-F04,FP02-F08,FZ-CZ,P03-O01,P04-O02,T03-T05,T04-T06,T05-O01,T06-O02,uid,sleep_state
6.939035,7.22006,8.190452,7.1151977,6.1726794,7.3936143,6.661375,6.707884,6.3076425,6.2694407,4.898971,6.3694906,7.220414,7.409795,6.9812617,7.0020766,6.478978,34,wake
18.40255,13.6853695,7.974502,15.134539,9.26039,10.759731,7.101703,12.692484,11.047806,10.448023,5.8951187,16.972967,12.679068,12.071809,16.751888,15.039523,21.679632,35,sleep
7.1144905,6.825889,7.586741,7.388576,8.642994,7.6663356,7.4434237,7.071792,7.2580786,6.961855,5.306464,7.6216598,7.066155,8.081859,7.8873634,7.2717805,6.9304786,35,wake
11.534479,10.513816,8.837382,8.584604,9.276519,8.337931,8.666699,7.879738,6.3889394,6.5827146,5.40913,9.940424,9.734207,10.16506,9.522414,9.743052,10.888024,36,sleep
7.3872104,7.773278,7.5889754,7.2212577,7.4146566,6.75117,6.8417583,6.672827,7.425951,7.247301,5.0738645,7.153996,7.9985514,7.578282,7.3864183,7.169941,7.797396,36,wake
10.600216,10.119499,10.113629,9.4036045,9.217117,9.078665,8.744899,9.093932,8.659367,8.372889,5.67201,10.198289,10.602841,9.653864,9.820074,10.22116,9.427809,37,sleep
4.947648,5.013168,5.180239,4.914473,4.8502507,4.7636843,4.8553295,4.8371315,4.8411117,4.7779245,4.7478337,4.5535383,5.0022,4.87022,4.695688,4.7444534,4.9300756,37,wake
10.4186945,12.457726,12.482625,10.098933,9.779225,11.499089,9.194339,9.527064,11.705045,10.150549,5.730489,10.00314,11.467976,10.758798,10.681196,11.0614605,9.488957,38,sleep
8.0068035,5.989172,8.176203,7.324048,7.659325,6.605072,7.0632577,7.4599614,7.351236,8.567207,5.3178744,8.589814,6.433035,5.8207374,7.797031,6.482218,7.511476,38,wake
5.5767775,5.4979916,5.814214,5.298374,5.9653726,5.3650446,5.9611955,5.8786373,5.519953,5.4842367,5.2928157,5.1094065,6.109176,5.433592,6.239254,4.8879004,6.062998,39,sleep
5.8647504,4.9850116,5.3047385,5.6077847,5.9946175,5.4396086,5.2991586,5.3631454,5.371847,5.4616885,4.780767,5.482502,5.185518,5.7737427,6.1161404,5.59063,5.4278994,39,wake
12.802799,16.555819,9.520555,12.908947,10.88229,10.124332,6.7815285,5.902847,6.553778,7.125355,5.5705843,10.553486,11.232571,11.199519,12.123905,10.9263115,11.914557,40,sleep
7.7498097,8.63321,7.3893695,7.199136,7.4485817,7.3535357,7.251203,7.540166,6.581453,6.69141,5.022836,7.3864465,7.9736857,7.763541,8.262311,8.596129,8.434834,40,wake
5.550871,5.2248087,5.6454186,5.3985214,5.5031137,5.7210426,5.3054795,5.6219783,5.1018195,5.1734095,4.9142423,5.3426776,5.4251695,5.2799,5.3041625,5.2139277,5.348181,41,sleep
6.1723013,6.016966,6.422983,6.1556726,6.3562355,6.363067,6.2630568,6.287767,6.1115236,6.0893316,5.4068646,6.1240416,6.22872,6.288259,6.127301,6.1925755,6.122472,41,wake
6.050324,5.9464684,6.2907834,6.1286345,6.1674223,6.021724,5.957384,6.0309014,5.650907,5.6573853,5.117818,6.030883,6.077191,6.226201,6.2680044,6.0767393,5.7945747,42,sleep
6.7055783,7.3362856,7.071187,6.4301367,6.614948,6.5846667,6.8979936,6.6846504,5.7973027,6.274491,5.0959187,6.860239,8.326111,7.922879,8.136149,7.5414085,8.60745,42,wake
5.2045875,6.3112354,5.0528965,5.0038347,5.0122075,6.711464,5.2955036,5.0965385,4.817176,5.6376767,4.887455,7.276825,6.616584,5.3992033,5.091917,5.6549354,4.9768286,43,sleep
5.731046,5.456159,5.7865195,5.564774,5.690042,5.9859056,5.394984,5.5672054,5.3506155,5.7615623,5.136941,5.460025,5.1797357,5.233507,5.8844833,5.172732,5.4401455,43,wake
